fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,fixed acidity_scaled,volatile acidity_scaled,citric acid_scaled,residual sugar_scaled,chlorides_scaled,free sulfur dioxide_scaled,total sulfur dioxide_scaled,density_scaled,pH_scaled,sulphates_scaled,alcohol_scaled,quality
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,-0.5244309620226647,0.9320001518998713,-1.3932579682543467,-0.4611570659989154,-0.24562280114914908,-0.46855351735712547,-0.39053778703606756,0.5840033590895148,1.2918721636398425,-0.5785613430756232,-0.9543742892850674,5
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,-0.2940627430687092,1.9158004330673288,-1.3932579682543467,0.056664837783860986,0.20009402992376119,0.8720027565130501,0.6349427159369254,0.04873718632654597,-0.7083954824325219,0.12482156902198069,-0.5845748022720374,5
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,-0.2940627430687092,1.2599335789556907,-1.1886173220660021,-0.16525883526590046,0.07853489417660377,-0.08553743910850388,0.2309655480990797,0.15579042087912787,-0.32124690577335663,-0.051024159002420445,-0.5845748022720374,5
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,1.6640671180399145,-1.3635338374908619,1.471711078382476,-0.4611570659989154,-0.26588265710700865,0.10597060001580692,0.4174165486396239,0.6910565936420968,-0.966494533538634,-0.4613308577260231,-0.5845748022720374,6
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,-0.5244309620226647,0.7133778671959924,-1.3932579682543467,-0.535131623682169,-0.26588265710700865,-0.27704547823281467,-0.2040867864955234,0.5840033590895148,1.2918721636398425,-0.5785613430756232,-0.9543742892850674,5
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,-0.23647068833021995,0.385444440140173,-1.08629699897183,-0.6830807390486765,-0.3874417928541658,-0.08553743910850388,0.38634138188286654,-0.16536928277867724,-0.06314785466724451,-1.1647137698236267,-0.9543742892850674,5
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,-0.5820230167611539,0.6587222960200224,-1.3932579682543467,-0.9789789697816916,-0.4684812166856041,-0.08553743910850388,-0.7945149548739133,-1.1288483937519738,0.5175750103215091,-1.1060985271488266,-0.39967505876552323,7
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,-0.2940627430687092,0.27613329778823315,-1.2909376451601744,-0.3871825083156616,-0.3064023690227278,-0.6600615564814363,-0.8877404551441854,0.04873718632654597,0.32400072199192365,-0.5199461004008235,-0.8619244175318104,7
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,-0.46683890728417593,-0.1611112716195254,0.4485078474407534,2.645774356697742,-0.34692208093844695,0.10597060001580692,1.7225735524234331,0.5840033590895148,0.259475959215397,0.8282044811195846,0.06257430000076386,5
6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,-0.9275753451920874,0.27613329778823315,-0.9839766758776577,-0.535131623682169,0.17983417396589965,-0.08553743910850388,0.5727923824234107,-0.43300236916013196,-0.19219738022030056,-0.6957918284252239,-1.1392740327915833,5
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,-1.561087947315466,0.46742779690412783,-1.3932579682543467,-0.6830807390486765,0.01775532630302505,0.010216580453651524,0.38634138188286654,-1.289428245580906,1.74354550307554,-0.8130223137748247,-0.4921249305187803,5
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,-0.2940627430687092,0.44010001131614285,0.09038671661115057,-0.6830807390486765,0.524251725249514,-0.6600615564814363,-0.5459136208198544,0.36989688998429165,-0.32124690577335663,5.282962924404409,-1.2317239045448403,5
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,0.3394498590546695,0.49475558249211277,-0.4723750604067966,0.9443595299829058,1.7803627946368061,3.4573612846912463,3.0588057229639998,1.0122162972999018,-0.966494533538634,1.297126422517987,-1.1392740327915833,5
8.9,0.62,0.19,3.9,0.17,51.0,145.84000000000015,0.9986,3.17,0.93,9.2,0.3394498590546695,0.49475558249211277,-0.4212148988597105,1.0183340876661597,1.658803658889649,3.361607265129091,3.0849088630396806,1.0122162972999018,-0.9019697707621074,1.590202635891989,-1.1392740327915833,5
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,0.10908164010071351,-1.3635338374908619,1.471711078382476,-0.535131623682169,0.07853489417660377,1.8295429521346043,1.7536487191801906,0.10226380360283692,-0.06314785466724451,0.5351282677455826,0.06257430000076386,7
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,-0.12128657885324247,0.16682215543629397,0.039226555064064694,-0.6091061813654229,5.670255138545841,0.010216580453651524,0.29311588161259444,0.04873718632654597,-1.2891183474212755,3.64173612951,-1.0468241610383244,5
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,-0.5244309620226647,0.33078886896420306,-0.9839766758776577,1.3882068760824287,-0.043024241570553665,-0.9473236151679025,-0.5459136208198544,0.36989688998429165,0.4530502475449797,-0.9302527991244255,-1.3241737762980974,4
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,-0.23647068833021995,-1.1449115527869826,1.2159102706470453,-0.535131623682169,5.123239027683633,0.10597060001580692,0.29311588161259444,0.10226380360283692,-1.7407916868569702,2.469431276013994,-1.1392740327915833,6
